station_name,lat,long
Market St at Dolores St,37.7692454406,-122.426964166
Market St at Franklin St,37.7738037064,-122.421220059
Market St at Steuart St,37.7945257729,-122.394879966
Marston Campbell Park,37.8098236,-122.2801923
Mason St at Bay St,37.8054516687,-122.413664859
Mason St at Halleck St,37.8039683844,-122.45507974
Masonic Ave at Turk St,37.7790582499,-122.44729458
McAllister St at Arguello Blvd,37.7753288706,-122.45810422
McAllister St at Baker St,37.777388041,-122.441956467
McCoppin St at Valencia St,37.7716813689,-122.422303564
McKinnon Ave at 3rd St,37.7362958722,-122.389969826
Mechanics Monument Plaza,37.7913040012,-122.399044921
Mercado Way at Sierra Rd,37.3711198568,-121.881326844
Metro Dr at Technology Dr,37.3676845339,-121.918792044
Miles Ave at Cavour St,37.8388004654,-122.25873202
Milvia St at Derby St,37.860135781,-122.269386692
Minnesota St Depot (Outgoing),37.7548560559,-122.389733791
Mint St at Mission St,37.7822831766,-122.407319241
Mission Bay Kids Park,37.772305094,-122.393016572
Mission Dolores Park,37.7614198456,-122.426439334
Mission Playground,37.7590257333,-122.421450455
Mission St at 1st St,37.3509643,-121.9020161
Mississippi St at 17th St,37.7647940248,-122.394764665
Montgomery St at Pacific Ave,37.7971763771,-122.403627311
Mosswood Park,37.8248921791,-122.260435912
Myrtle St at Polk St,37.7854795115,-122.419344986
N 14th St at E Santa Clara St,37.3426625921,-121.877292395
N Morrison Ave at W Julian St,37.3336776186,-121.908618308
Natoma St at New Montgomery St,37.7864651524,-122.399749139
Newbury Park Dr at King Rd,37.3655356586,-121.867966354
Ninth St at Heinz Ave,37.8529973915,-122.289446671
Ninth St at Parker St,37.8588682,-122.2912095
North Berkeley BART,37.8738556998,-122.282988324
North Point St at Grant Ave,37.8071713553,-122.409273024
North Point St at Polk St,37.8054393818,-122.423123663
North Point St at Powell St,37.8069285865,-122.41153268
O'Farrell St at Divisadero St,37.7824048309,-122.439467941
O'Farrell St at Masonic Ave,37.781133318,-122.44736879
Oak St at 1st St,37.3221246254,-121.881090403
Oakdale Ave at Phelps St,37.7370411363,-122.394498919
Ocean Ave West: To Fairfield Way,37.7249138,-122.4614828
Ocean Avenue East: to Plymouth Ave,37.7244072,-122.4587692
Octavia Blvd at Page St,37.7740268131,-122.423828107
Oregon St at Adeline St,37.8575675942,-122.267557011
Ortega St at 40th Ave,37.7514670081,-122.498554459
Otis St at Brady St,37.7722180431,-122.419962982
Page St at Masonic Ave,37.7711382478,-122.445334876
Page St at Scott St,37.7723560107,-122.435854773
Palm St at Willow St,37.3172979,-121.884995
Park Ave at Laurel Grove Ln,37.3262823241,-121.904911101
Park Ave at Race St,37.3260108479,-121.912327409
Parker Ave at McAllister St,37.7761085928,-122.45309747
Parker St at Fulton St,37.8624644861,-122.264788129
Parkmoor Ave at Race St,37.3167415292,-121.909991396
Parque Ninos Unidos,37.7543389444,-122.41324291
Paseo De San Antonio at 2nd St,37.3337985404,-121.886944476
Piedmont Ave at MacArthur Blvd,37.8231432226,-122.256950573
Pier 1/2 at The Embarcadero,37.7963886724,-122.394583831
Pierce Ave at Market St,37.3275807521,-121.884559542
Pierce St at Haight St,37.7718130578,-122.433706307
Pine St at Market St,37.7924642003,-122.397924691
Polk St at Bush St,37.7884721794,-122.420329959
Polk St at Post St,37.7870021707,-122.420048339
Pompei Circle at JFK Dr,37.7716930656,-122.458283479
Post St at Baker St,37.7839757668,-122.442871407
Post St at Divisadero St,37.7844159368,-122.439365445
Post St at Kearny St,37.7889723574,-122.403450365
Post St at Webster St,37.7853895488,-122.431772238
Potrero Ave at Mariposa St,37.7632970474,-122.407383919
Potrero del Sol Park,37.7517676709,-122.405244408
Powell St BART North,37.7861400436,-122.405232666
Powell St BART South,37.7838941028,-122.408440754
Powell St at Columbus Ave,37.8004928951,-122.410886458
Powell St at Green St,37.7991431585,-122.410687014
Precita Park,37.7472995097,-122.411403169
Quesada Ave at 3rd St,37.7330928099,-122.390972972
Quintara St at Great Highway,37.7473286242,-122.507531067
Raimondi Park,37.8149311832,-122.292953429
Randall St at Chenery St,37.7398314826,-122.425755973
Raymond Bernal Jr Memorial Park,37.3568343528,-121.895935759
Raymond Kimbell Playground,37.7838030563,-122.434530004
Rhode Island St at 17th St,37.7644739193,-122.402570756
Rockridge BART,37.8442788326,-122.251900526
Russell St at College Ave,37.8584729857,-122.253254244
Russia Ave at Madrid St,37.720038,-122.433823
Ryland Park,37.3427246788,-121.895617934
S Van Ness Ave at Market St,37.7748080513,-122.41897032
SAP Center,37.3326999915,-121.900088655
SF Depot-2 (Minnesota St Incoming),37.754849694,-122.389733791
SFSU Park East,37.7256036687,-122.476561142
SFSU Park West,37.726266,-122.479462
Saint James Park,37.339301,-121.889937
Saint James St at 9th St,37.343203978,-121.884393916
Saint Joseph's Ave at Geary Blvd,37.7825644629,-122.442186854
Salesforce Transit Center,37.7874914256,-122.398285652
San Antonio Park,37.7901398519,-122.242373228
San Carlos St at 11th St,37.3364653103,-121.876615972
